Frame Attached,Frame Detached,Average Vertical Position,Average Horizontal Position,Starting Vertical Position,Starting Horizontal Position,Final Vertical Position,Final Horizontal Position
1,16,46.529818564375006,851.42707166875,44.73743017,851.7765363,47.69387755,851.1428571
1,24,157.37807507619047,201.66549710952378,156.9708333,202.9791667,157.5895954,199.8439306
1,146,155.04110984324322,730.443179854054,154.4248366,732.8823529,154.0502092,733.4686192
1,162,175.0708442526316,277.6379317006579,174.3518519,293.1419753,173.7142857,276.5609756
1,28,333.6721248277778,55.57806962388888,334.8210526,59.90526316,334.4666667,52.84444444
1,146,364.1015551164384,278.823770149315,366.2571429,314.5183673,359.3809524,266.6007326
1,165,371.1045191079755,1076.083820153374,367.7471264,1083.8659,371.21875,1078.211806
1,31,455.10975673,1093.7780116333333,452.6213992,1152.522634,456.327044,1020.716981
1,64,455.60291809999995,228.79571487833334,455.416,272.256,455.8660287,167.6315789
1,2,453.44922755000005,826.69073035,454.2359551,824.8314607,452.6625,828.55
1,99,496.26644623950614,346.1159662604938,496.3176471,347.254902,499.2083333,339.6666667
1,9,576.1073963875001,211.59632668749998,578.0166667,252.61,576.0985401,175.1167883
1,56,637.4720305848485,51.20317027272728,635.0503876,59.59302326,642.1917808,20.42465753
1,318,641.2619350034365,700.5367141388316,646.6216216,710.4099099,638.2014134,692.204947
1,321,671.3313349428093,912.5414874672241,655.2472325,1107.276753,686.9196787,543.3012048
1,9,748.3941957750001,1284.046715625,746.5244161,1285.118896,750.7602041,1276.831633
1,30,762.8674339125,16.157420480083335,761.8027523,23.02752294,762.8454545,8.7
1,33,770.8618901384615,87.40122136461538,771.0989811,89.47452693,770.6174603,88.83492063
1,45,824.7774525477272,864.7143003545455,818.7892562,905.572314,826.5192308,826.5923077
1,67,823.6372990258064,221.26672119677417,827.7746032,270.5015873,816.6980519,163.2564935
1,77,876.5778018157142,1246.0649708142857,870.6044444,1313.626667,883.2907801,1163.468085
1,49,886.053985588889,195.6870413,884.8081633,226.3591837,885.6470588,162.4470588
1,30,910.3559742033334,543.0073534966666,903.6796117,556.3333333,913.6851852,522.9555556
1,67,911.9437448585364,853.8700443512195,911.715847,910.6721311,911.1111111,763.4017094
1,7,952.2653986571429,277.38720117142856,951.4903475,307.9305019,951.2288136,249.6101695
1,92,1008.1404332444446,205.94856092922217,1012.858407,296.3672566,1012.863469,94.83763838
1,3,1020.7466583333334,577.4376582,1017.47139,579.599455,1022.610497,572.6546961
1,42,1044.6546968260868,1261.5630430869567,1047.588235,1286.294118,1046.025,1242.8
1,1,793.7142857,1073.285714,793.7142857,1073.285714,793.7142857,1073.285714
2,8,70.86619293333334,434.69787146666675,70.55555556,437.1018519,72.70833333,429.8333333
2,9,869.8134456571428,798.1856303857143,871.2994012,812.0479042,866.5344828,778.4051724
3,5,152.46060606666666,873.6848484666667,154.8363636,871.2363636,151.2727273,874.9090909
3,5,183.06479389999998,866.59920185,183.5277778,866.5694444,182.60181,866.6289593
3,5,438.77960305,924.36444925,438.7231405,924.4256198,438.8360656,924.3032787
3,5,460.24537255,963.07922005,460.6744186,963.9883721,459.8163265,962.170068
3,5,624.8576043,155.5145321,624.5938697,155.5478927,625.1213389,155.4811715
3,9,642.6776781000001,179.627259425,643.0526316,181.5736842,642.3,178.4
3,8,787.0219016000001,1079.992618,786.4334601,1080.338403,788.1932203,1079.830508
4,58,1027.9796574888887,507.5526965022222,1028.696078,558.2401961,1031.049133,480.867052
5,8,800.7048780499999,1064.5044899999998,801.8,1066.777273,799.6097561,1062.231707
6,28,792.879864452381,1070.869599904762,793.5705765,1073.467197,792.2104208,1069.07014
8,10,747.5005118,1292.658829,746.844358,1295.093385,748.8461538,1287.615385
9,9,766.9761905,664.1111111,766.9761905,664.1111111,766.9761905,664.1111111
10,28,952.5360786736842,114.53876000821052,950.4136691,214.2625899,953.1338583,9.748031496
12,12,863.3841808,742.0282486,863.3841808,742.0282486,863.3841808,742.0282486
13,30,577.8545470266668,65.38469752733333,576.256705,136.5900383,580.0084034,5.151260504
13,15,860.9531172000001,729.4307693999999,856.712,735.376,864.9240506,724.2658228
16,25,183.2265837,866.0588110166665,182.9319728,865.7823129,183.84689,865.9569378
18,19,71.24918743,381.7620531,70.23076923,382.3269231,72.26760563,381.1971831
18,33,863.1744296166667,623.9407433583334,861.65625,672.36875,865.7333333,566.8666667
18,41,904.7413446428571,681.7122579333334,902.7410359,701.752988,903.1764706,670.6372549
19,27,877.0661080666665,1225.2141414444443,875.9204545,1239.852273,876.0580205,1212.805461
25,77,643.014803625,168.686493121875,641.6326531,171.8503401,643.5620915,166.4379085
26,255,149.76841681095237,161.35415803190477,162.5473684,196.2894737,146.2235772,160.1097561
27,30,630.9396681999999,95.142255245,630.6666667,100.384058,631.2126697,89.90045249
28,163,47.315146313643396,838.1981258131782,46.76785714,852.0535714,52.43859649,811.2491228
28,61,749.6443320769231,1295.340623307692,748.0900474,1294.682464,752.2391304,1297.608696
29,30,70.51884701,329.87977335,70.2195122,330.6585366,70.81818182,329.1010101
29,60,873.948560984375,1120.8331003125002,875.4908425,1180.677656,871.3296703,1066.549451
31,32,904.7238248,502.21423749999997,906.3365385,501.8846154,903.1111111,502.5438596
34,201,436.24270994565217,904.4708948579711,441.5133929,911.3080357,436.1468927,901.8022599
35,128,629.310336135443,53.73201081245571,625.3061224,121.3061224,628.8979592,1.408163265
35,35,631.328125,51.984375,631.328125,51.984375,631.328125,51.984375
35,41,791.8442593999999,1037.243789,790.8590604,1037.677852,793.3246269,1036.38806
