Frame Attached,Frame Detached,Average Eccentricity,Average Size,Average Horizontal Location,Average Vertical Location,rolling?,Starting Vertical Position,Starting Horizontal Position,Final Vertical Position,Final Horizontal Position
73,75,0.61939734,146,405.3051019,374.1104004,no,405.4685315,374.7482517,405.2967742,373.4258065
78,144,0.638903239,124.2985075,373.8781966,768.5018587,yes,373.2464789,780.3802817,373.615942,757.5652174
78,78,0.405284069,93,770.4731183,285.2903226,no,770.4731183,285.2903226,770.4731183,285.2903226
83,83,0.750796188,96,26.66666667,154.75,no,26.66666667,154.75,26.66666667,154.75
83,909,0.623045944,173.5369697,92.71819972,1164.750035,yes,92.87301587,1181.507937,94.10588235,1162.541176
84,84,0.612401234,188,890.643617,1119.324468,no,890.643617,1119.324468,890.643617,1119.324468
86,431,0.42268435,140.740413,835.5059064,68.40241217,yes,834.6347305,122.9580838,838.4191176,26.69852941
87,450,0.523946347,130.0055096,482.9584643,823.0188126,yes,483.0704225,868.6830986,484.6013514,786.0337838
92,98,0.77413029,143.1666667,605.7649989,17.52611662,yes,607.0869565,16.08695652,607.1185567,17.78865979
92,95,0.785452407,195.75,933.7137295,106.2676267,yes,933.1013825,107.0967742,933.9367816,105.0862069
93,93,0.6708467,101,177.5940594,202.9306931,no,177.5940594,202.9306931,177.5940594,202.9306931
93,104,0.752125799,123.0833333,603.8297471,719.3021967,no,603.7327586,721.1896552,603.8545455,718.2727273
93,165,0.56824384,116.0483871,844.0996708,980.2822512,yes,841.2589928,1141.942446,839.9565217,855.6304348
94,647,0.557526065,156.522604,151.3376552,669.672697,yes,152.8453608,743.443299,151.4275862,627.7517241
101,101,0.812779001,239,86.29707113,108.5983264,no,86.29707113,108.5983264,86.29707113,108.5983264
101,506,0.444510715,137.5732323,964.4259636,59.33120971,yes,960.464,132.712,967.4275362,10.32608696
102,104,0.79764345,145.6666667,605.5519396,14.81900924,yes,605.0153061,16.83673469,607.4866667,15.24666667
102,746,0.62387054,206.5204583,692.6501877,426.0229778,yes,691.438914,448.1538462,692.6,399.47
103,106,0.891451158,138,859.2549793,47.91310069,yes,858.2614379,67.48366013,860.1162791,32.30232558
107,148,0.652852912,176.8333333,313.2261317,1008.678535,no,314.5142857,1010.04,313.1223404,1008.526596
108,108,0.663835921,123,231.7235772,949.1707317,no,231.7235772,949.1707317,231.7235772,949.1707317
108,184,0.411743002,159.8571429,666.8874982,1021.335607,yes,668.0915033,1053.215686,666.6491228,992.3918129
109,112,0.428659633,135.75,547.2293539,507.8813081,yes,547.6451613,510.0483871,547.1884058,506.4927536
110,125,0.506170209,125.8125,303.5048847,257.9985022,yes,304.7862595,262.2824427,304.2719298,255.5175439
110,119,0.393290977,106.3,736.6241054,1255.989602,no,736.816,1256.416,736.69,1255.58
112,121,0.766293146,131.3333333,605.9085217,15.46445345,yes,604.7222222,15.96825397,606.0571429,9.614285714
113,707,0.650910484,134.1013986,241.6828895,1001.278711,yes,240.4714286,1060.685714,244.1586207,944.2344828
113,392,0.698193651,149.7634409,246.5908816,943.992944,yes,247.7666667,982.9333333,244.4693878,920.9863946
113,270,0.769194064,168.8535032,686.3581854,592.6336658,yes,685.8902439,594.6402439,686.6971429,592.5771429
114,121,0.667017397,197.25,168.025,261.7696019,no,168.2985075,261.6766169,168.3059361,261.9041096
114,600,0.520812166,168.9751037,425.8346278,543.4152611,yes,424.1111111,567.2,424.3295455,527.3409091
114,907,0.691087181,128.8406677,592.4981701,652.97178,yes,593.1083333,653.725,591.6783217,652.2447552
118,527,0.411271358,163.4643735,635.89187,725.0659514,no,636.0202703,727.1486486,636.1931818,724.4602273
118,913,0.672835081,167.2435159,1000.51308,700.7921184,yes,1001.491228,703.3918129,999.6428571,705.7460317
123,141,0.787646925,126.1818182,606.7098908,12.50697163,yes,605.3043478,15.06521739,605.7586207,13
125,871,0.694720667,202.6756032,167.9170176,259.2362084,yes,168.0684211,261.3947368,167.6307692,258.1230769
126,182,0.347395705,151.0185185,806.3667919,785.7373053,yes,806.3059701,794.0447761,806.6848485,778.6484848
126,198,0.613697244,173.3972603,907.2234932,87.45218439,yes,906.8333333,96.14814815,906.7142857,79.38961039
129,372,0.658160557,192.8934426,312.9104543,343.749905,yes,312.1619718,361.4507042,312.6485149,326.8613861
131,194,0.439000995,133.8253968,915.4767598,631.6554387,yes,915.0516129,652.2193548,916.7637795,613.6220472
133,140,0.740541574,116.25,753.8646834,1326.840533,yes,753.4787234,1332.691489,754.1826087,1322.234783
140,140,0.909104508,101,515.7524752,152.6039604,no,515.7524752,152.6039604,515.7524752,152.6039604
146,149,0.583197484,152.75,608.5729348,916.5067436,yes,608.707483,917.8979592,608.4573171,915.6036585
152,152,0.866095327,119,517.0756303,153.3109244,no,517.0756303,153.3109244,517.0756303,153.3109244
153,700,0.81608068,127.7097701,661.6633593,839.2677895,yes,661.1459854,871.2116788,662.3495935,817.8536585
155,155,0.711278216,125,541.544,1341.488,no,541.544,1341.488,541.544,1341.488
156,156,0.91127279,109,745.4220183,457.9541284,no,745.4220183,457.9541284,745.4220183,457.9541284
157,432,0.600956238,168.7509158,345.7024024,975.9748549,yes,344.513369,993.8181818,345.030303,958.969697
160,203,0.722054277,141.25,720.0912681,131.2488703,yes,720.0151515,131.0909091,719.8257576,130.9772727
