Cell Number,Frame,Vertical Position,Horizontal Position
14,6,546.6923077,965.0769231
15,6,555.2857143,1053.714286
17,6,587.7272727,842.6363636
18,6,609.8571429,545.4285714
19,6,683.9166667,418.4166667
21,6,705.0714286,1093.928571
23,6,744.8461538,206.3076923
24,6,764.7142857,593
25,6,782.5,518.5714286
26,6,807.8,970.9
27,6,807.9230769,1160.615385
28,6,817.5,16.2
29,6,831.5833333,431.1666667
30,6,838.5,678.6666667
31,6,841.1111111,1257.333333
32,6,882.3333333,1077.555556
33,6,912.8888889,1016
34,6,942.6,488.5
35,6,950.6428571,756.2142857
36,6,964.0769231,918.6923077
37,6,1005.928571,952.6428571
54,6,1005.166667,729.0833333
38,6,1018.230769,198.9230769
39,6,1024.692308,458.7692308
40,6,1034.307692,1263.846154
41,6,1035.166667,800.6666667
0,7,100.8,1312.4
1,7,188.1,116.3
7,7,343.1,63.3
8,7,354.1666667,213.0833333
9,7,425.2,773.8
10,7,470,75.2
11,7,482,297.75
12,7,490.8888889,1207.222222
13,7,531.5,376.4285714
14,7,547.3846154,963.6923077
65,7,548.5454545,1057.636364
17,7,585.5555556,842.5555556
18,7,607.8181818,543
19,7,684.9230769,417.7692308
21,7,705.0666667,1093.333333
23,7,743.2666667,206
24,7,760.1818182,587.3636364
25,7,784,519.6923077
26,7,806.1818182,968.4545455
27,7,807.9166667,1159.833333
28,7,819,16.92307692
29,7,833.6666667,432.25
30,7,842,675.25
31,7,842.0769231,1256.230769
32,7,884.25,1077.166667
33,7,913.5384615,1011.923077
34,7,943.6666667,490.25
35,7,952.8888889,757.1111111
36,7,963.6428571,917.6428571
54,7,1004.083333,727.25
37,7,1005.666667,953.25
38,7,1018.25,198.5625
39,7,1023,456.4545455
40,7,1033.384615,1263.615385
42,8,99,165.8
1,8,188.625,121.875
7,8,343.5833333,64.5
8,8,354.0833333,213.1666667
9,8,424.5,773.9
10,8,468.3846154,74.46153846
11,8,480.5714286,298
13,8,531.6923077,376.6153846
14,8,546.5,964.6
65,8,552.6666667,1054.222222
16,8,563.4166667,689.75
46,8,583.5454545,337.6363636
17,8,585.2727273,841
18,8,607.5,546.125
20,8,686.5,1259.7
21,8,705.6153846,1093.615385
23,8,742.0833333,206.4166667
24,8,762.8333333,586.0833333
25,8,783.2,516.8
26,8,807.7272727,967.3636364
27,8,809.5,1159.666667
28,8,816.8,18.6
29,8,832.1428571,430.8571429
31,8,843.2222222,1254.555556
30,8,842.5,673
32,8,882.5833333,1075.083333
33,8,913.9090909,1009.818182
34,8,946,485.4
35,8,952.1428571,755.5714286
36,8,964.5,916.1
37,8,1005.75,953.25
38,8,1019.076923,199.6923077
39,8,1024.833333,454.9166667
40,8,1033.818182,1263.090909
66,8,1041.666667,758.6666667
42,9,100.2222222,165.8888889
67,9,262.4285714,279.8571429
7,9,342.8,64.5
8,9,352,212.6153846
9,9,424.7857143,773.4285714
10,9,470.8333333,70.75
11,9,481.0769231,297.7692308
13,9,533.5,376.6428571
45,9,532.1428571,839.7142857
14,9,545.2307692,962.5384615
65,9,553.8888889,1050.777778
16,9,564.1538462,690.7692308
17,9,586.0909091,841.3636364
46,9,585.0909091,337.8181818
18,9,608.125,543.5
19,9,686.3636364,410
21,9,704.9285714,1093.857143
23,9,744,207.3846154
24,9,764.3333333,586.1111111
25,9,783.0909091,515.6363636
27,9,808.8461538,1159.538462
26,9,806.3,968.6
28,9,819.0769231,17.38461538
29,9,833.0714286,431.7142857
31,9,840.1538462,1253
30,9,845.5333333,670.2
32,9,883.6666667,1069.416667
33,9,915.4,1011
34,9,944.6363636,485.4545455
35,9,950.0909091,756
54,9,1010.545455,713.2727273
38,9,1017.384615,200.7692308
39,9,1023.818182,451.2727273
40,9,1034.181818,1262.545455
42,10,99,165.7777778
7,10,343.1538462,65.23076923
8,10,352.5,213.1428571
9,10,424.2727273,772.5454545
10,10,467.7272727,69.72727273
11,10,481.6363636,296.6363636
13,10,530.8181818,375.7272727
14,10,545.5,964.3
65,10,552.7692308,1049.076923
16,10,563.3571429,690.7142857
46,10,585.1666667,339.9166667
17,10,586,842.6666667
19,10,685.7777778,396.4444444
21,10,705.8571429,1093.357143
23,10,743.2,207.6
24,10,765,582.3636364
25,10,782.25,517.1666667
27,10,807.1818182,1157.727273
26,10,807.8333333,965.9166667
28,10,817,18
29,10,834.1538462,431.7692308
31,10,840.4444444,1248.666667
30,10,844.5,666.6
32,10,880.6,1067
33,10,915.8,1010.9
34,10,945.2142857,485.7857143
35,10,952.3333333,754.6666667
36,10,965.8181818,911.5454545
37,10,1007.75,943.9166667
38,10,1019.545455,199
39,10,1024,443.5
40,10,1034.538462,1261.923077
60,10,789.5,853.5
68,11,73.375,15.125
42,11,98.625,166.375
69,11,302.5,440.625
7,11,345.3333333,65.22222222
8,11,353.125,207.5
9,11,426.1818182,773.0909091
10,11,468.9230769,68.53846154
11,11,481.8181818,297
13,11,533.5,375
45,11,532.125,839
14,11,544.7,964.9
65,11,554.4166667,1049.583333
70,11,565,755.375
46,11,584.5833333,338.1666667
17,11,585,842.5
18,11,606,543.1818182
19,11,688.25,388.9166667
21,11,704.1818182,1092.545455
23,11,743.7058824,206.6470588
24,11,763.75,580
25,11,783.6428571,515.4285714
27,11,808.75,1158.583333
26,11,808.5,967.8333333
28,11,819.5,16.5
29,11,832.6428571,431.5714286
31,11,842.4444444,1245.333333
30,11,846.2307692,668.6153846
32,11,883.4615385,1067.692308
48,11,887.8888889,267.2222222
33,11,914.9166667,1009.333333
49,11,928,233.25
34,11,944.5,485.5714286
35,11,956.9166667,749.5
36,11,967.5714286,912
37,11,1010,940.6666667
38,11,1017.153846,198.6923077
39,11,1022.785714,438.5714286
40,11,1035.214286,1263.285714
42,12,98.5,165.5
69,12,302.5714286,438.5714286
7,12,341.6363636,65.72727273
8,12,350,198.6363636
9,12,425.6,772.4
10,12,467.3846154,69.61538462
11,12,481.8,296.2
12,12,487.3333333,1191.583333
13,12,533.4166667,375.75
14,12,545.8,965.5
65,12,554.5,1048.583333
16,12,564.1428571,688.8571429
70,12,566,755.2857143
46,12,583.4615385,337.5384615
17,12,583.9,842.6
18,12,603.6363636,543.4545455
19,12,686.7692308,389.6153846
21,12,704.5384615,1090
23,12,743.7142857,205.7142857
24,12,765.8333333,578
25,12,782.1666667,514.5
27,12,807.3333333,1158.916667
26,12,808.7777778,966.8888889
28,12,819.9166667,16.5
29,12,833.6923077,431.6153846
31,12,842.0833333,1239.166667
30,12,845.9230769,668.0769231
32,12,884.625,1066.375
48,12,888.875,266.5
33,12,915.75,1008.833333
49,12,929.2142857,232.8571429
34,12,944.3636364,486.2727273
35,12,956.2142857,747.2142857
36,12,965.9090909,910
37,12,1010.5,935.3
38,12,1017.5,197.9
39,12,1023.090909,424.2727273
40,12,1033.153846,1262.769231
52,13,55.375,1285.625
0,13,101.5,1311.125
1,13,195.1,111.7
7,13,341.5,65
8,13,353.9090909,191
9,13,427.125,770.625
10,13,467.2727273,68.27272727
11,13,481.0714286,296.1428571
13,13,532.4166667,374.75
71,13,525.5555556,539.1111111
14,13,545,964.0909091
65,13,556.1666667,1047.666667
70,13,566,755.5714286
17,13,584.7692308,841.4615385
18,13,604,544.4166667
72,13,610,73.375
21,13,705.5454545,1088.909091
59,13,728.9230769,1021.461538
23,13,742.0769231,206.3076923
24,13,764.7777778,577
25,13,783.0833333,513.5
27,13,807.9090909,1157.363636
26,13,808.1538462,967.0769231
28,13,818.9166667,17.66666667
29,13,833.8333333,432.1666667
31,13,843,1237.153846
30,13,846.7857143,667.8571429
32,13,884.0833333,1065.666667
48,13,887.8888889,267
33,13,917,1005.222222
49,13,930.5384615,228.0769231
34,13,945.1111111,485.7777778
35,13,956.5714286,745.4285714
36,13,967.9166667,910
54,13,1010.090909,690.3636364
37,13,1009.8,935.9
38,13,1016.916667,198.25
39,13,1024,419.4545455
40,13,1034.153846,1262.153846
0,14,102,1311.222222
1,14,194.6,110.6
7,14,342.7272727,65.72727273
8,14,358.7272727,186.0909091
10,14,468.75,67.375
11,14,482,296.875
12,14,485.5384615,1181.153846
71,14,524.2727273,535.3636364
13,14,532.2857143,375.2142857
14,14,545.6,964.7333333
65,14,554.6428571,1045
70,14,565.7142857,754.8571429
46,14,584.7142857,333.0714286
17,14,585,841.9
18,14,603.5,543.8
72,14,609.3,67.4
21,14,705.6666667,1085
59,14,728.8571429,1024.571429
23,14,743.5714286,206.5714286
24,14,765.4545455,575.6363636
25,14,785.75,508.3333333
27,14,808.75,1156.916667
26,14,808.6,965
28,14,818.7272727,17.72727273
29,14,833.8333333,432
31,14,841.7692308,1235.307692
30,14,845.3636364,666.0909091
32,14,882.9166667,1062.916667
48,14,889,266.8571429
33,14,917.3846154,1006.384615
34,14,943.8,481.2
35,14,957.9090909,746.5454545
36,14,968.4615385,909.2307692
62,14,999,333.5
37,14,1009.833333,937.4166667
38,14,1018.25,198.5833333
73,14,1018.1875,326.0625
54,14,1015.1,689.4
39,14,1023.454545,414
40,14,1033.363636,1263.090909
74,14,647.5,1278.333333
42,15,94.75,168.875
1,15,193.8,110.3
7,15,341.7857143,67.21428571
8,15,357.3333333,186.3333333
10,15,468.0909091,66
11,15,482.5,296.75
12,15,488.5714286,1181.142857
13,15,533.1428571,375.8571429
71,15,527.3333333,529.5
14,15,545.6666667,964.7777778
65,15,553.6666667,1043.166667
16,15,564.3636364,691.9090909
46,15,585,335.0833333
17,15,583.9,841
18,15,607.1538462,544.6153846
72,15,608,55.22222222
75,15,680,383.7692308
23,15,743.1538462,206.8461538
24,15,767.7142857,569.2857143
25,15,784.5,506.7
27,15,806.75,1157.666667
26,15,809.0833333,965.75
28,15,818.6,16
29,15,833.7692308,431.6153846
31,15,842.6923077,1233.076923
30,15,846.7272727,667.1818182
32,15,882.1538462,1060.769231
48,15,887.8888889,266.6666667
33,15,917.7142857,1006.285714
49,15,930.4,221.5333333
76,15,938.875,1329.25
34,15,944.0833333,475.6666667
35,15,956.8181818,744.9090909
36,15,968.8333333,907.6666667
37,15,1011.6,934.5
38,15,1019.083333,198.4166667
39,15,1023.384615,410.9230769
40,15,1035,1261.384615
77,16,78.625,5.5
1,16,195.9,111.2
7,16,340.5384615,66
8,16,359.3333333,185.8333333
10,16,469.25,65.08333333
11,16,481.1538462,294.6923077
12,16,485.9230769,1174.230769
13,16,531.5833333,373.5833333
14,16,545.8,964
65,16,553.9333333,1044
16,16,563.4545455,690.0909091
70,16,565.8888889,755.1111111
17,16,584.7857143,842.2857143
18,16,603.5384615,543.9230769
72,16,607.9,49.9
75,16,676.3333333,384.3333333
78,16,711.1538462,1073.923077
23,16,743.6666667,206
25,16,784.8,503.7333333
79,16,800.9285714,829.8571429
26,16,810.0833333,965
28,16,814.6666667,20.25
28,16,823.75,5.5
29,16,834.2,431.8666667
31,16,845.6,1230.6
30,16,845.9090909,665.1818182
32,16,882.6153846,1058.923077
48,16,887.625,267.375
33,16,918.6153846,1004.692308
49,16,931.9090909,220.5454545
36,16,969.3571429,907
62,16,999.8333333,330.5
54,16,1010.5,679.7
73,16,1019.066667,321.1333333
40,16,1035,1263.111111
45,16,532.3333333,840
77,17,78,7.428571429
80,17,248.5714286,1303
7,17,341.9090909,65.45454545
8,17,357.7857143,185.4285714
10,17,470.2222222,59.66666667
11,17,482.6,295
12,17,490.6428571,1158
71,17,523.3333333,517.2222222
13,17,532.6153846,374.2307692
14,17,546.6428571,965.1428571
65,17,554,1042.777778
16,17,562.7,689.1
70,17,565.7142857,755.4285714
46,17,584,335.8666667
17,17,586.1818182,836
18,17,604.4166667,544.4166667
72,17,607.1,40.6
75,17,680,379.5833333
23,17,744.125,206.125
24,17,765.2727273,563.1818182
25,17,786.4,503.6666667
27,17,806.4615385,1157.461538
26,17,808.0833333,965.25
29,17,833.8461538,431.6153846
31,17,845.6,1227.1
30,17,846,668
32,17,881.4285714,1055.714286
48,17,887.625,267
33,17,919.1333333,1006.133333
49,17,931,211.2307692
76,17,937.875,1321.75
34,17,945.6,471.2
35,17,956.8,743.7
36,17,968,904.9090909
37,17,1015.444444,929.8888889
38,17,1017.461538,198.6153846
39,17,1027.714286,389.1428571
40,17,1034.2,1264.7
52,18,53,1288.857143
0,18,99.22222222,1312.666667
81,18,135.1111111,394.8888889
82,18,135.3,494.6
83,18,147.1,204.6
84,18,158.6153846,1309.307692
1,18,191,112.3076923
85,18,193,1116.9
80,18,251.8181818,1302.272727
67,18,265,282.4545455
7,18,342.6666667,61
8,18,357.8,184.1333333
86,18,428,725.7
10,18,465.3,57.9
11,18,481.8461538,294.7692308
71,18,523.3333333,515.1111111
13,18,532,373.9333333
14,18,546.3333333,964.75
65,18,554.75,1042.416667
16,18,561.7692308,691.7692308
70,18,564.2857143,755.2857143
46,18,583.75,335
17,18,584.1428571,834
72,18,607.3,35.5
75,18,676.7272727,383
78,18,709.3636364,1072.818182
59,18,726.9166667,1024.833333
23,18,742.6428571,205.0714286
27,18,808.0909091,1156.090909
26,18,810,963.7
28,18,818.7,15.3
29,18,834.5384615,431.7692308
31,18,843.6666667,1225.75
30,18,845.5833333,665.8333333
32,18,880.4285714,1044.428571
48,18,888.4285714,266.8571429
33,18,918.6153846,1005.615385
49,18,928.8181818,208.4545455
76,18,940,1318.555556
34,18,947.4615385,464.2307692
35,18,956.3,741.6
36,18,968.1111111,904.7777778
37,18,1014.333333,927.8333333
54,18,1014.3,666.2
38,18,1018.333333,200.25
39,18,1028.25,383
52,19,51.41666667,1286.25
87,19,60.44444444,664.6666667
88,19,62.61538462,718.8461538
0,19,100.6153846,1312.461538
82,19,133.6428571,493.5714286
81,19,136.1428571,392.9285714
83,19,145.6666667,204.75
84,19,159.3333333,1308.833333
1,19,191.3636364,113.1818182
85,19,194.0833333,1116.833333
80,19,250.8333333,1292.583333
67,19,259.3636364,281.6363636
89,19,262.8181818,480.2727273
90,19,293.2,411.9
8,19,355.8333333,182.1666667
91,19,422.1538462,718.4615385
10,19,470,56.41666667
11,19,482.3333333,292.6666667
92,19,497.0833333,1159.583333
13,19,532.5714286,372.5
14,19,545.7777778,964
65,19,552.7272727,1041.545455
16,19,563.4166667,691
46,19,584.3076923,332.0769231
17,19,583.6923077,833.8461538
18,19,605.5454545,543.9090909
72,19,608.4,30.9
75,19,679,365.8571429
23,19,743.1333333,206.8666667
93,19,759.2,540.7
94,19,766.7142857,332.7142857
25,19,785.8666667,495.8666667
27,19,807.3333333,1156.555556
26,19,809.5,965.3333333
28,19,819.3846154,15
29,19,833.1428571,430.5714286
31,19,843,1226.153846
30,19,846.3,665.4
32,19,881.8571429,1047.071429
49,19,927.8333333,208.8333333
34,19,948.375,465.125
35,19,956.1,742.6
36,19,970.0769231,902.7692308
54,19,1013.357143,663.6428571
37,19,1016.166667,926.0833333
73,19,1016,319.5
38,19,1019,199.7777778
74,19,646.5833333,1262.583333
52,20,51.08333333,1287.583333
87,20,59.30769231,654.8461538
88,20,63.07692308,721.0769231
0,20,97.93333333,1311.466667
42,20,99.5,172.3
82,20,129,487.9166667
81,20,135.6428571,393.9285714
83,20,145,205.5
84,20,159,1308.2
1,20,193.0909091,111.1818182
85,20,194.0833333,1117.166667
95,20,212.8461538,897.0769231
80,20,253.2727273,1293
67,20,262.8571429,277.7857143
89,20,267.4,476.6
90,20,296,404.3333333
8,20,357.6,184
91,20,426.3076923,719.1538462
10,20,472.7777778,54
11,20,481,292.8461538
92,20,496.2727273,1160.272727
13,20,532.4285714,372.8571429
14,20,546.8571429,964.7142857
65,20,554.3,1042.4
16,20,563.0714286,689.2857143
46,20,583.8571429,335.8571429
17,20,588.6153846,821.8461538
72,20,605.8333333,25.16666667
18,20,606.1111111,543.3333333
75,20,679.25,365.1666667
93,20,759.2222222,541.6666667
25,20,785.9285714,496.2857143
96,20,788.1818182,853.2727273
79,20,803,830.0769231
26,20,808.9090909,964.1818182
28,20,817,19.81818182
29,20,833,431.2727273
31,20,843.2142857,1226.142857
30,20,846.4,665.8
32,20,881.6363636,1040.363636
48,20,887.8888889,267
33,20,919.5454545,1006
49,20,928.25,207.75
76,20,941.4285714,1320.142857
35,20,955.5833333,738.25
38,20,1019.272727,200.0909091
97,20,593.1666667,608.4166667
52,21,50.76923077,1285.615385
88,21,63.58333333,719.75
87,21,61.16666667,636.75
0,21,100,1311.583333
42,21,98.66666667,171.5555556
82,21,131.9333333,482.6666667
81,21,136.3636364,391.4545455
83,21,144.9,205.7
84,21,158.8888889,1308.444444
85,21,194,1118.090909
1,21,193.8,111.1
95,21,213.8571429,895.6428571
80,21,251.3333333,1291.888889
67,21,263.5833333,275.9166667
7,21,341,58.4
98,21,344.6666667,4
8,21,358.6428571,183.3571429
99,21,369.1818182,1337.272727
91,21,426.8333333,716.6666667
10,21,471.1666667,48.75
11,21,479.5555556,292
92,21,496.9230769,1160.384615
71,21,524.3636364,498.8181818
13,21,531.2142857,372.2857143
14,21,546.3846154,964.3846154
65,21,554.4615385,1038.307692
16,21,563.8461538,691.5384615
46,21,583.8333333,333.5833333
17,21,589.6666667,821.5
18,21,605.9166667,543.25
72,21,605.3,6.1
75,21,681.1666667,364.6666667
23,21,742.9166667,206.9166667
93,21,757.9,544.4
25,21,785.8,494
27,21,806.0666667,1155.6
26,21,809.8181818,965.6363636
28,21,817.2727273,17.27272727
29,21,834,432.2142857
31,21,842.3846154,1223.538462
30,21,846.6666667,665.75
32,21,881.4,1039.8
48,21,887.4285714,267
49,21,928.3333333,207.4444444
35,21,957.8888889,739.4444444
52,22,51.28571429,1287.142857
87,22,59.55555556,627.6666667
88,22,64.72727273,719.1818182
0,22,100.5555556,1311.833333
42,22,99.63636364,172.8181818
81,22,135.9230769,395
100,22,138.375,457.75
83,22,145.9090909,204.7272727
84,22,158,1308.555556
1,22,192.9090909,110.4545455
85,22,194.9090909,1117.545455
101,22,208.6923077,335.4615385
95,22,214.6363636,897.0909091
80,22,254.3,1286.8
89,22,263.2857143,459.8571429
90,22,290.6153846,385.8461538
7,22,339,60.125
8,22,357.8461538,182.1538462
99,22,366.5,1329.5
10,22,470.3636364,45.81818182
11,22,478.3846154,291.0769231
92,22,499.9166667,1155.75
71,22,525.7777778,499.6666667
13,22,533.1538462,373.3076923
102,22,531.75,840.625
14,22,545.8571429,964.0714286
65,22,553.4545455,1036.363636
16,22,563.7647059,691
46,22,584.25,335.3333333
17,22,589.1,817.4
18,22,604.3846154,542.2307692
75,22,680,361.1538462
78,22,707.6,1070.6
59,22,729.2857143,1026.142857
23,22,743.6923077,206.4615385
93,22,757.9090909,540.8181818
25,22,785,491.6363636
27,22,807.9090909,1154.818182
26,22,809.6153846,965.3076923
29,22,831.6923077,433.5384615
31,22,842.3333333,1223.833333
30,22,846,666.0769231
32,22,882.3333333,1032.083333
48,22,889,266.8
35,22,957.8888889,739.1111111
52,23,51.1,1287
87,23,59.1,619.9
88,23,65.66666667,721.6666667
42,23,97.84615385,172.4615385
0,23,100.5,1312.166667
83,23,145.2,204.4
84,23,158.6,1308.8
1,23,191,113.4285714
85,23,193,1117.333333
101,23,208.125,333.875
95,23,213.9090909,893.3636364
103,23,237.8333333,1160.75
80,23,252.125,1280.75
89,23,262.6923077,453.0769231
104,23,283.3846154,1127.230769
90,23,291.5454545,386
7,23,339.8888889,58.88888889
8,23,358.6363636,182.2727273
99,23,367.8571429,1326.857143
91,23,430.4166667,694.5
10,23,470.5555556,45.55555556
11,23,476.75,288.25
92,23,499.5,1142.75
13,23,528.6923077,372.4615385
71,23,528,495.1666667
102,23,530.1428571,840.4285714
14,23,546.4615385,964.5384615
65,23,552.3,1038.4
16,23,563.7692308,690.1538462
46,23,585.4,332
17,23,592.7272727,815.3636364
18,23,604.4666667,543.2
75,23,678.6363636,358.4545455
23,23,742.6428571,204.8571429
93,23,755.1111111,531.6666667
25,23,784.0714286,488.7857143
27,23,806.2727273,1156.181818
26,23,809.9285714,966.5
28,23,817.6363636,16.18181818
29,23,833.4166667,431.8333333
31,23,841.7692308,1224.615385
30,23,846.5,666.3333333
32,23,883.4545455,1028.909091
48,23,887.5555556,266.1111111
35,23,959.4545455,737.5454545
52,24,51.2,1287.2
87,24,59.91666667,621.25
88,24,66,721
42,24,95.875,171.25
0,24,99.46153846,1311.769231
83,24,146.1666667,204.4166667
84,24,158.3,1308.8
1,24,190.1538462,112.3846154
85,24,193.1666667,1119.166667
95,24,215.75,893.75
103,24,237.2666667,1159.666667
105,24,239.3333333,1346.333333
80,24,254,1279.818182
89,24,263.3076923,450.0769231
104,24,282.25,1118.25
90,24,294.2,366.6
7,24,341,59.42857143
8,24,357.25,181.5833333
99,24,367.3076923,1326.461538
91,24,429.2,684.1333333
10,24,470.5,45.41666667
11,24,476.8888889,286.5555556
92,24,499.8181818,1136.454545
13,24,526.75,375.4166667
71,24,530.2857143,493.5714286
102,24,529.875,841.25
14,24,546.3076923,963.4615385
65,24,552.8,1036.2
16,24,564.6875,691.125
46,24,585.1818182,329.2727273
106,24,575.25,442.75
17,24,588.5,810
18,24,605,543.3333333
75,24,678.4615385,355.3846154
27,24,805.2,1155
26,24,809.6363636,963.7272727
28,24,817.1818182,21.09090909
29,24,833.4285714,433.1428571
31,24,842.7857143,1222.5
30,24,846.8333333,665.25
32,24,883.75,1026.833333
48,24,889.2,266.3
35,24,957.4,737.1
52,25,52,1288
87,25,57.75,613.625
88,25,67,719.2
42,25,98.66666667,175.7777778
